,file_name,class,size
255,1002.txt,car,540
256,1002.txt,car,252
257,1002.txt,car,432
258,1002.txt,car,464
259,1002.txt,car,270
260,1002.txt,car,594
261,1002.txt,car,805
262,1002.txt,tru,6649
263,1002.txt,car,638
264,10020.txt,per,561
265,10020.txt,per,624
266,10020.txt,per,385
267,10020.txt,per,288
268,10020.txt,car,3306
269,10020.txt,car,909
270,10020.txt,tru,441
271,10020.txt,per,270
272,10021.txt,per,2754
273,10021.txt,per,84
274,10022.txt,per,252
275,10022.txt,per,2200
276,10023.txt,per,1850
277,10023.txt,tru,506
278,10023.txt,car,1764
279,10023.txt,car,504
280,10023.txt,per,192
281,10023.txt,per,243
282,10023.txt,per,440
283,10023.txt,per,477
284,10023.txt,per,600
285,10023.txt,car,1080
286,10024.txt,car,918
287,10024.txt,car,1716
288,10024.txt,per,1060
289,10024.txt,per,147
290,10024.txt,tru,812
291,10024.txt,car,3008
292,10024.txt,per,132
293,10024.txt,per,132
294,10024.txt,per,100
295,10024.txt,per,279
296,10024.txt,per,240
297,10024.txt,per,312
298,10024.txt,per,378
299,10024.txt,per,216
300,10024.txt,per,742
301,10025.txt,car,1734
302,10025.txt,car,616
303,10025.txt,car,930
304,10025.txt,per,546
305,10025.txt,tru,1755
306,10025.txt,car,3691
307,10025.txt,per,114
308,10025.txt,per,108
309,10025.txt,per,100
310,10025.txt,per,175
311,10025.txt,per,189
312,10025.txt,per,270
313,10025.txt,per,484
314,10025.txt,per,171
315,10025.txt,cyc,1200
316,10025.txt,per,310
317,10026.txt,per,66
318,10026.txt,per,210
319,10026.txt,per,155
320,10026.txt,per,162
321,10026.txt,per,207
322,10026.txt,per,132
323,10026.txt,per,88
324,10026.txt,car,3450
325,10026.txt,car,155
326,10026.txt,tru,6510
327,10026.txt,per,264
328,10026.txt,car,1537
329,10026.txt,cyc,1507
330,10026.txt,mot,3045
331,10026.txt,mot,1702
332,10026.txt,per,560
333,10026.txt,cyc,1216
334,10027.txt,cyc,1554
335,10027.txt,cyc,1210
336,10027.txt,tru,131016
337,10027.txt,per,171
338,10027.txt,car,10098
339,10027.txt,car,3550
340,10027.txt,car,418
341,10028.txt,car,58624
342,10028.txt,car,4171
343,10028.txt,car,4050
344,10028.txt,car,1131
345,10028.txt,per,290
346,10028.txt,per,318
347,10028.txt,car,1143
348,10028.txt,cyc,1554
349,10028.txt,mot,3055
350,10028.txt,mot,1652
351,10028.txt,cyc,1475
352,10028.txt,cyc,1922
353,10028.txt,cyc,1360
354,10028.txt,mot,4046
355,10028.txt,cyc,930
356,10028.txt,cyc,847
357,10029.txt,per,396
358,10029.txt,car,1947
359,10029.txt,car,6386
360,10029.txt,car,4698
361,10029.txt,car,5192
362,10029.txt,per,261
363,10029.txt,per,528
364,10029.txt,car,1247
365,10029.txt,cyc,1476
366,10029.txt,mot,2645
367,10029.txt,mot,1045
368,10029.txt,cyc,1456
369,10029.txt,cyc,1920
370,10029.txt,cyc,883
371,10029.txt,cyc,1070
372,10029.txt,cyc,912
373,10029.txt,mot,4070
374,10029.txt,per,243
375,1003.txt,car,1748
376,1003.txt,car,532
377,1003.txt,car,3640
378,1003.txt,car,1150
379,1003.txt,car,252
380,1003.txt,car,378
381,1003.txt,car,350
382,1003.txt,car,209
383,1003.txt,car,560
384,1003.txt,car,168
385,1003.txt,car,405
386,1003.txt,car,194
387,1003.txt,car,374
388,1003.txt,car,493
389,1003.txt,tru,4272
390,10030.txt,per,432
391,10031.txt,per,160
392,10031.txt,car,1290
393,10031.txt,car,5518
394,10031.txt,car,76110
395,10031.txt,cyc,918
396,10031.txt,mot,2871
397,10031.txt,cyc,1140
398,10031.txt,cyc,1196
399,10031.txt,cyc,994
400,10031.txt,per,692
401,10031.txt,car,1652
402,10032.txt,car,1025
403,10032.txt,cyc,1296
404,10032.txt,per,451
405,10032.txt,per,224
406,10032.txt,car,7000
407,10032.txt,car,1350
408,10032.txt,per,116
409,10032.txt,car,106380
410,10033.txt,car,76712
411,10033.txt,per,128
412,10033.txt,per,210
413,10033.txt,car,1104
414,10033.txt,car,9006
415,10033.txt,per,216
416,10033.txt,per,418
417,10033.txt,car,1032
418,10033.txt,cyc,1258
419,10033.txt,mot,2773
420,10033.txt,mot,881
421,10033.txt,cyc,1377
422,10033.txt,cyc,1012
423,10033.txt,per,119
424,10034.txt,per,407
425,10034.txt,per,216
426,10034.txt,car,696
427,10034.txt,cyc,1368
428,10034.txt,mot,2565
429,10034.txt,mot,1008
430,10034.txt,cyc,1296
431,10034.txt,car,91590
432,10034.txt,car,10750
433,10034.txt,car,1081
434,10034.txt,car,27633
435,10035.txt,cyc,1558
436,10035.txt,car,1008
437,10035.txt,car,109804
438,10035.txt,mot,2322
439,10035.txt,per,264
440,10035.txt,per,175
441,10035.txt,car,13110
442,10035.txt,car,882
443,10035.txt,car,6960
444,10035.txt,per,198
445,10035.txt,per,100
446,10035.txt,per,171
447,10036.txt,car,120624
448,10036.txt,car,320
449,10036.txt,cyc,1369
450,10036.txt,per,153
451,10036.txt,per,120
452,10036.txt,per,60
453,10036.txt,car,506
454,10036.txt,car,1705
455,10036.txt,car,16799
456,10036.txt,per,207
457,10036.txt,per,310
458,10036.txt,mot,765
459,10037.txt,cyc,1054
460,10037.txt,car,128865
461,10037.txt,car,17574
462,10037.txt,car,924
463,10037.txt,car,18532
464,10037.txt,per,133
465,10037.txt,per,196
466,10037.txt,per,176
467,10038.txt,car,3432
468,10038.txt,car,17982
469,10038.txt,per,175
470,10038.txt,per,192
471,10038.txt,per,203
472,10038.txt,cyc,1230
473,10038.txt,car,126852
474,10039.txt,car,135837
475,10039.txt,cyc,760
476,10039.txt,per,261
477,10039.txt,per,181
478,10039.txt,car,17871
479,10039.txt,car,950
480,10039.txt,car,946
481,10039.txt,per,63
482,1004.txt,car,20163
483,1004.txt,car,2157
484,1004.txt,car,792
485,1004.txt,car,240
486,1004.txt,car,792
487,1004.txt,car,256
488,1004.txt,car,198
489,1004.txt,car,350
490,1004.txt,tru,2622
491,10040.txt,per,140
492,10040.txt,car,968
493,10040.txt,car,15729
494,10040.txt,car,480
495,10040.txt,per,207
496,10040.txt,per,224
497,10040.txt,car,192871
498,10041.txt,car,902
499,10041.txt,car,12837
500,10041.txt,car,945
501,10041.txt,per,280
502,10041.txt,per,168
503,10041.txt,car,134345
504,10042.txt,tru,65391
505,10042.txt,car,50240
506,10042.txt,car,1053
507,10042.txt,car,12524
508,10042.txt,car,864
509,10043.txt,car,1710
510,10043.txt,car,16837
511,10043.txt,car,25252
512,10043.txt,tru,40365
513,10043.txt,per,259
514,10043.txt,per,6063
515,10043.txt,per,3330
516,10043.txt,per,936
517,10043.txt,per,1606
518,10043.txt,per,2596
519,10043.txt,per,1260
520,10043.txt,per,2220
521,10044.txt,car,24638
522,10044.txt,car,16512
523,10044.txt,tru,22147
524,10044.txt,per,1998
525,10044.txt,per,224
526,10044.txt,per,2160
527,10044.txt,per,2028
528,10044.txt,per,1026
529,10044.txt,per,1968
530,10044.txt,per,1752
531,10044.txt,per,1932
532,10044.txt,car,525
533,10044.txt,car,2064
534,10044.txt,per,2025
535,10044.txt,per,4294
536,10044.txt,per,1162
537,10044.txt,per,1632
538,10044.txt,car,1073
539,10044.txt,per,1105
540,10045.txt,car,22914
541,10045.txt,car,1904
542,10045.txt,tru,13552
543,10045.txt,per,850
544,10045.txt,per,561
545,10045.txt,per,1488
546,10045.txt,per,774
547,10045.txt,per,495
548,10045.txt,per,1080
549,10045.txt,per,583
550,10045.txt,per,2211
551,10045.txt,per,1296
552,10045.txt,car,420
553,10045.txt,per,969
554,10045.txt,per,1100
555,10045.txt,per,432
556,10045.txt,car,1023
557,10045.txt,car,648
558,10045.txt,per,924
559,10045.txt,per,816
560,10045.txt,per,380
561,10045.txt,per,650
562,10045.txt,per,592
563,10046.txt,car,4900
564,10046.txt,car,22539
565,10046.txt,tru,8448
566,10046.txt,per,125
567,10046.txt,per,420
568,10046.txt,per,1200
569,10046.txt,per,1020
570,10046.txt,per,690
571,10046.txt,per,369
572,10046.txt,per,297
573,10046.txt,per,672
574,10046.txt,per,520
575,10046.txt,per,720
576,10046.txt,car,875
577,10046.txt,car,520
578,10046.txt,per,734
579,10046.txt,per,132
580,10046.txt,per,572
581,10046.txt,per,270
582,10046.txt,per,288
583,10046.txt,per,448
584,10046.txt,per,280
585,10046.txt,car,300
586,10046.txt,per,240
587,10047.txt,per,462
588,10047.txt,mot,720
589,10047.txt,cyc,324
590,10047.txt,cyc,285
591,10047.txt,cyc,297
592,10047.txt,car,6956
593,10047.txt,car,13616
594,10047.txt,tru,3312
595,10047.txt,per,384
596,10047.txt,per,779
597,10047.txt,per,351
598,10047.txt,per,520
599,10047.txt,per,304
600,10047.txt,per,468
601,10047.txt,car,380
602,10047.txt,per,196
603,10047.txt,per,180
604,10047.txt,per,629
605,10047.txt,per,310
606,10047.txt,per,615
607,10047.txt,per,248
608,10047.txt,per,126
609,10047.txt,car,682
610,10047.txt,car,391
611,10048.txt,per,319
612,10048.txt,car,2596
613,10048.txt,cyc,510
614,10048.txt,cyc,372
615,10048.txt,mot,540
616,10048.txt,car,5856
617,10048.txt,car,8120
618,10048.txt,tru,2009
619,10048.txt,per,340
620,10048.txt,car,198
621,10048.txt,per,406
622,10048.txt,per,527
623,10048.txt,per,275
624,10048.txt,car,342
625,10048.txt,per,418
626,10048.txt,car,462
627,10048.txt,per,175
628,10048.txt,per,129
629,10048.txt,per,416
630,10048.txt,per,155
631,10048.txt,car,320
632,10048.txt,per,126
633,10048.txt,per,420
634,10048.txt,per,238
635,10049.txt,per,6270
636,10049.txt,per,299
637,10049.txt,per,184
638,10049.txt,car,196
639,10049.txt,per,168
640,10049.txt,car,391
641,10049.txt,per,207
642,10049.txt,per,181
643,10049.txt,per,200
644,10049.txt,per,297
645,10049.txt,per,216
646,10049.txt,per,280
647,10049.txt,per,196
648,10049.txt,tru,1050
649,10049.txt,car,4950
650,10049.txt,car,4523
651,10049.txt,car,17856
652,1005.txt,car,23562
653,1005.txt,car,1273
654,1005.txt,car,532
655,1005.txt,car,118500
656,1005.txt,car,1131
657,1005.txt,car,320
658,1005.txt,tru,1792
659,1005.txt,car,252
660,1005.txt,car,128
661,10050.txt,car,336
662,10050.txt,per,120
663,10050.txt,car,7360
664,10050.txt,car,8820
665,10050.txt,car,2109
666,10050.txt,car,2997
667,10050.txt,per,225
668,10050.txt,per,110
669,10050.txt,per,264
670,10050.txt,car,232
671,10050.txt,car,336
672,10050.txt,car,121
673,10050.txt,per,100
674,10050.txt,car,132
675,10050.txt,per,144
676,10050.txt,per,110
677,10050.txt,per,145
678,10050.txt,per,57
679,10050.txt,per,171
680,10050.txt,per,147
681,10051.txt,per,5453
682,10051.txt,car,294
683,10051.txt,car,285
684,10051.txt,car,1830
685,10051.txt,car,4646
686,10051.txt,car,5376
687,10051.txt,car,21690
688,10052.txt,per,3293
689,10052.txt,per,1738
690,10052.txt,car,216
691,10052.txt,car,216
692,10052.txt,car,1080
693,10052.txt,car,2448
694,10052.txt,car,9150
695,10052.txt,per,403
696,10052.txt,car,19912
697,10052.txt,tru,1365
698,10053.txt,car,137088
699,10053.txt,per,1298
700,10053.txt,per,1064
701,10053.txt,per,370
702,10053.txt,car,180
703,10053.txt,car,165
704,10053.txt,car,646
705,10053.txt,car,1296
706,10053.txt,car,3772
707,10053.txt,car,14985
708,10054.txt,tru,20646
709,10054.txt,car,6426
710,10054.txt,car,1269
711,10054.txt,car,726
712,10054.txt,car,442
713,10054.txt,car,112
714,10054.txt,car,165
715,10054.txt,car,64896
716,10055.txt,car,12325
717,10055.txt,per,13600
718,10055.txt,per,3219
719,10055.txt,per,264
720,10055.txt,per,935
721,10055.txt,car,90
722,10055.txt,car,126
723,10055.txt,car,108
724,10055.txt,car,3672
725,10055.txt,tru,8509
726,10055.txt,car,9990
727,10055.txt,per,299
728,10055.txt,car,209
729,10056.txt,tru,20880
730,10056.txt,car,10890
731,10056.txt,tru,3690
732,10056.txt,car,238
733,10056.txt,car,819
734,10056.txt,car,2580
735,10056.txt,car,4611
736,10056.txt,per,460
737,10056.txt,per,420
738,10056.txt,per,279
739,10056.txt,per,455
740,10056.txt,per,3923
741,10056.txt,per,675
742,10056.txt,per,1275
743,10056.txt,per,2925
744,10056.txt,per,574
745,10056.txt,per,9750
746,10056.txt,per,280
747,10056.txt,car,160
748,10057.txt,per,3154
749,10057.txt,per,572
750,10057.txt,per,900
751,10057.txt,per,580
752,10057.txt,per,2697
753,10057.txt,per,600
754,10057.txt,per,1088
755,10057.txt,per,155
756,10057.txt,per,189
757,10057.txt,per,297
758,10057.txt,car,2405
759,10057.txt,car,1863
760,10057.txt,car,176
761,10057.txt,car,280
762,10057.txt,car,627
763,10057.txt,car,360
764,10057.txt,tru,1216
765,10057.txt,car,3185
766,10057.txt,car,7992
767,10057.txt,tru,11284
768,10058.txt,per,1980
769,10058.txt,per,1080
770,10058.txt,per,228
771,10058.txt,per,552
772,10058.txt,per,196
773,10058.txt,per,400
774,10058.txt,per,132
775,10058.txt,car,1560
776,10058.txt,car,1032
777,10058.txt,car,192
778,10058.txt,car,194
779,10058.txt,car,464
780,10058.txt,car,1242
781,10058.txt,car,233
782,10058.txt,tru,4880
783,10058.txt,car,9075
784,10059.txt,per,2040
785,10059.txt,per,182
786,10059.txt,per,320
787,10059.txt,per,315
788,10059.txt,per,132
789,10059.txt,car,816
790,10059.txt,car,680
791,10059.txt,car,156
792,10059.txt,car,322
793,10059.txt,car,612
794,10059.txt,tru,850
795,10059.txt,tru,2508
796,10059.txt,car,2964
797,10059.txt,per,240
798,1006.txt,car,6864
799,1006.txt,car,24069
800,1006.txt,car,374
801,1006.txt,car,1408
802,1006.txt,car,19440
803,1006.txt,car,6726
804,1006.txt,car,800
805,1006.txt,car,345
806,1006.txt,tru,1221
807,10060.txt,per,13951
808,10060.txt,per,144
809,10060.txt,per,203
810,10060.txt,car,570
811,10060.txt,car,588
812,10060.txt,car,233
813,10060.txt,car,406
814,10060.txt,tru,1505
815,10060.txt,car,1260
816,10060.txt,car,18236
817,10061.txt,per,14688
818,10061.txt,per,210
819,10061.txt,per,144
820,10061.txt,car,400
821,10061.txt,car,416
822,10061.txt,car,135
823,10061.txt,car,153
824,10061.txt,car,630
825,10061.txt,tru,1088
826,10061.txt,car,11088
827,10061.txt,bus,12994
828,10062.txt,bus,22746
829,10062.txt,per,2208
830,10062.txt,per,110
831,10062.txt,car,330
832,10062.txt,car,390
833,10062.txt,car,368
834,10062.txt,car,198
835,10062.txt,car,90
836,10062.txt,tru,675
837,10062.txt,car,5220
838,10062.txt,car,15200
839,10062.txt,car,6490
840,10062.txt,mot,88644
841,10063.txt,bus,9729
842,10063.txt,per,3059
843,10063.txt,mot,86887
844,10063.txt,mot,10414
845,10063.txt,car,266
846,10063.txt,car,280
847,10063.txt,car,126
848,10063.txt,car,246
849,10063.txt,tru,576
850,10063.txt,car,2449
851,10063.txt,car,1870
852,10063.txt,car,10944
853,10064.txt,bus,4176
854,10064.txt,per,5580
855,10064.txt,per,779
856,10064.txt,per,4100
857,10064.txt,per,1513
858,10064.txt,mot,11310
859,10064.txt,mot,3168
860,10064.txt,car,187
861,10064.txt,car,233
862,10064.txt,car,228
863,10064.txt,tru,506
864,10064.txt,car,99
865,10064.txt,car,99
866,10064.txt,car,1122
867,10064.txt,car,486
868,10064.txt,car,6222
869,10065.txt,per,3712
870,10065.txt,per,1656
871,10065.txt,per,448
872,10065.txt,mot,3225
873,10065.txt,mot,1326
874,10065.txt,car,176
875,10065.txt,car,272
876,10065.txt,car,104
877,10065.txt,car,150
878,10065.txt,bus,2124
879,10065.txt,car,3230
880,10065.txt,car,920
881,10066.txt,bus,1334
882,10066.txt,per,5179
883,10066.txt,per,5406
884,10066.txt,per,8274
885,10066.txt,per,3393
886,10066.txt,per,2625
887,10066.txt,per,2470
888,10066.txt,per,880
889,10066.txt,per,270
890,10066.txt,mot,1325
891,10066.txt,mot,703
892,10066.txt,car,204
893,10066.txt,car,280
894,10066.txt,car,198
895,10066.txt,tru,380
896,10066.txt,car,406
897,10066.txt,car,1792
898,10067.txt,bus,792
899,10067.txt,per,8304
900,10067.txt,per,7987
901,10067.txt,per,14365
902,10067.txt,per,4611
903,10067.txt,per,7476
904,10067.txt,per,2622
905,10067.txt,per,1584
906,10067.txt,per,3600
907,10067.txt,per,440
908,10067.txt,per,280
909,10067.txt,mot,741
910,10067.txt,mot,390
911,10067.txt,car,180
912,10067.txt,car,300
913,10067.txt,car,253
914,10067.txt,car,143
915,10067.txt,car,1008
916,10068.txt,car,1428
917,10068.txt,car,576
918,10068.txt,bus,651
919,10068.txt,car,414
920,10068.txt,car,204
921,10068.txt,mot,308
922,10068.txt,mot,496
923,10068.txt,per,304
924,10068.txt,per,1560
925,10068.txt,per,728
926,10068.txt,per,767
927,10068.txt,per,1824
928,10068.txt,per,3955
929,10068.txt,per,1805
930,10068.txt,per,3008
931,10068.txt,per,6847
932,10068.txt,cyc,6497
933,10068.txt,car,198
934,10069.txt,car,3686
935,10069.txt,car,420
936,10069.txt,bus,147
937,10069.txt,car,90
938,10069.txt,car,165
939,10069.txt,car,588
940,10069.txt,car,180
941,10069.txt,mot,220
942,10069.txt,per,783
943,10069.txt,per,1292
944,10069.txt,per,896
945,10069.txt,per,2726
946,10069.txt,per,912
947,10069.txt,per,1260
948,10069.txt,per,1281
949,10069.txt,per,6475
950,1007.txt,car,134235
951,1007.txt,car,1855
952,1007.txt,car,5940
953,1007.txt,tru,690
954,1007.txt,car,414
955,1007.txt,car,2145
956,1007.txt,car,1581
957,1007.txt,car,2300
958,1007.txt,per,450
959,1007.txt,per,301
960,1007.txt,per,930
961,1007.txt,car,11297
962,1007.txt,car,2622
963,1007.txt,car,467
964,1007.txt,car,233
965,10070.txt,car,8400
966,10070.txt,car,1150
967,10070.txt,car,298
968,10070.txt,car,1036
969,10070.txt,car,207
970,10070.txt,mot,171
971,10070.txt,per,370
972,10070.txt,per,1122
973,10070.txt,per,384
974,10070.txt,per,748
975,10070.txt,per,1088
976,10070.txt,per,616
977,10070.txt,per,2375
978,10070.txt,car,130
979,10071.txt,tru,119412
980,10071.txt,per,1335
981,10071.txt,per,297
982,10071.txt,per,210
983,10071.txt,per,429
984,10071.txt,per,611
985,10071.txt,per,264
986,10071.txt,mot,105
987,10071.txt,car,238
988,10071.txt,car,2460
989,10071.txt,car,480
990,10071.txt,car,1736
991,10072.txt,car,4876
992,10072.txt,car,11200
993,10072.txt,car,266
994,10072.txt,mot,162
995,10072.txt,per,320
996,10072.txt,per,342
997,10072.txt,per,232
998,10072.txt,tru,202188
999,10072.txt,per,924
1000,10073.txt,per,944
1001,10073.txt,tru,22553
1002,10073.txt,car,320
1003,10073.txt,car,259
1004,10073.txt,car,900
1005,10073.txt,car,112896
1006,10074.txt,bus,24335
1007,10074.txt,car,405
1008,10074.txt,car,374
1009,10074.txt,tru,6278
1010,10074.txt,per,490
1011,10075.txt,tru,22791
1012,10075.txt,bus,6328
1013,10075.txt,car,264
1014,10075.txt,car,352
1015,10075.txt,tru,2700
1016,10075.txt,per,264
1017,10075.txt,per,81
1018,10075.txt,per,92
1019,10076.txt,tru,2805
1020,10076.txt,bus,30012
1021,10076.txt,tru,3198
1022,10076.txt,bus,2170
1023,10076.txt,car,112
1024,10076.txt,car,80
1025,10076.txt,car,396
1026,10076.txt,tru,1368
1027,10076.txt,per,135
1028,10076.txt,per,270
1029,10076.txt,per,210
1030,10076.txt,per,1168
1031,10076.txt,per,3277
1032,10076.txt,tru,5915
1033,10076.txt,car,1496
1034,10076.txt,tru,2464
1035,10076.txt,per,233
1036,10077.txt,bus,10296
1037,10077.txt,bus,650
1038,10077.txt,car,374
1039,10077.txt,tru,756
1040,10077.txt,car,1440
1041,10077.txt,per,770
1042,10077.txt,per,450
1043,10077.txt,per,296
1044,10077.txt,tru,2939
1045,10077.txt,tru,912
1046,10078.txt,bus,2730
1047,10078.txt,tru,285
1048,10078.txt,car,140
1049,10078.txt,car,357
1050,10078.txt,tru,483
1051,10078.txt,per,180
1052,10078.txt,per,2820
1053,10078.txt,bus,4147
1054,10079.txt,tru,167691
1055,10079.txt,bus,38860
1056,10079.txt,bus,1350
1057,10079.txt,car,150
1058,10079.txt,car,396
1059,10079.txt,tru,360
1060,1008.txt,car,77066
1061,1008.txt,car,2583
1062,1008.txt,car,2990
1063,1008.txt,car,1380
1064,1008.txt,car,2478
1065,1008.txt,car,2183
1066,1008.txt,car,2438
1067,1008.txt,car,4731
1068,1008.txt,per,473
1069,1008.txt,per,350
1070,1008.txt,per,840
1071,1008.txt,car,1269
1072,1008.txt,car,311
1073,1008.txt,car,340
1074,10080.txt,per,5328
1075,10080.txt,tru,80910
1076,10080.txt,car,11592
1077,10080.txt,bus,12008
1078,10080.txt,bus,684
1079,10080.txt,car,220
1080,10080.txt,car,396
1081,10080.txt,tru,289
1082,10081.txt,per,2324
1083,10081.txt,tru,21573
1084,10081.txt,tru,256
1085,10081.txt,car,475
1086,10081.txt,car,330
1087,10081.txt,bus,350
1088,10081.txt,bus,4002
1089,10081.txt,car,4212
1090,10082.txt,per,2916
1091,10082.txt,per,990
1092,10082.txt,per,306
1093,10082.txt,per,142
1094,10082.txt,tru,9800
1095,10082.txt,tru,195
